h,beta,se,t,p,n,r2
0,-9.690994917405517e-09,9.169540283604747e-09,-1.0568681327168754,0.290571774038067,469,0.05792233192161644
1,-1.2444537299294896e-08,7.302647033434426e-09,-1.7041132129649494,0.08835993861579797,468,0.017269464036269833
2,-5.60546444647313e-09,8.109274400327423e-09,-0.6912411850617365,0.48941398593453844,467,0.04940692726828211
3,-1.0584864107688336e-08,1.0973886328210574e-08,-0.9645501867900546,0.3347701597129146,466,0.016327659255425786
4,-1.1078657171515248e-08,1.3666342960526941e-08,-0.8106526525431264,0.41756517081859235,465,0.029587771062260515
5,-1.0959577423937602e-08,1.220239461460448e-08,-0.898149729629346,0.3691057297428445,464,0.011778445168885932
6,2.6995293452512346e-08,6.754826120237775e-09,3.996445352106575,6.430071653288744e-05,463,0.006715837109364076
7,1.6911945412022483e-08,7.748179797783378e-09,2.182699143979687,0.02905797301662823,462,0.0074331045520601435
8,2.7361683485399657e-08,8.517443266643887e-09,3.212429203086542,0.001316175832251283,461,0.027144160817625163
9,-1.8364720277625423e-09,1.0109014304247918e-08,-0.1816667750673611,0.8558442416971437,460,0.008209024004475318
10,1.8938181034355456e-09,1.1249203191429809e-08,0.16835131086247498,0.8663069096180963,459,0.012303976827695684
