h,beta,se,t,p,n
0,3.889987004657239e-08,7.315926096934194e-08,0.531714912523156,0.5951779290033117,469
1,-5.591152487971431e-08,5.293587037993072e-08,-1.0562124411750813,0.29142196563559963,468
2,-5.2673007047656155e-08,8.244116748034481e-08,-0.638916316416967,0.5231939948060762,467
3,1.658106649002403e-08,3.445561841338266e-08,0.4812296877418371,0.6305815937641,466
4,-2.2450144850945626e-08,5.571992354406544e-08,-0.4029105465873656,0.687201219878157,465
5,4.913382253804889e-08,6.855043929461289e-08,0.7167543059335307,0.4738902538751426,464
6,-6.65923615945983e-09,4.07001243474325e-08,-0.16361709616938594,0.87010475955773,463
7,-1.2291135825425682e-08,6.917154095489229e-08,-0.17769064640963977,0.8590446633451241,462
8,4.4205879146915314e-08,2.498132429451773e-08,1.7695570749472438,0.07746922883632457,461
9,1.75717679367762e-08,3.730491454601312e-08,0.4710309124311918,0.6378444062430977,460
10,5.3549723745153466e-08,6.961138267001157e-08,0.7692667734959755,0.4421349808583399,459
