variant,window,h,beta,se,t,p,n
base,ret_close_close,0,5.5335184202825865e-09,9.689028169703493e-08,0.057111181053072786,0.9544812148487183,469
base,ret_overnight,0,-3.3366351626289774e-08,4.1191210211399276e-08,-0.8100357201220554,0.41833487373969325,469
base,ret_intraday,0,3.889987004657239e-08,7.315926096934194e-08,0.531714912523156,0.5951779290033117,469
exclude_macro,ret_close_close,0,1.97310101031384e-08,1.1932692373481371e-07,0.1653525414514802,0.8687412602663733,452
exclude_macro,ret_overnight,0,-2.4521996191228866e-08,4.9495956023949156e-08,-0.4954343376934397,0.6205370264754535,452
exclude_macro,ret_intraday,0,4.4253006294367303e-08,8.239907878525054e-08,0.5370570514471408,0.5914954245854318,452
bull,ret_close_close,0,8.532704702669503e-06,0.004687963866340687,0.0018201302198453011,0.9985492527052064,246
bull,ret_overnight,0,8.578822579363169e-06,0.0048766660735762805,0.0017591572705473206,0.998597851562075,246
bull,ret_intraday,0,-4.611787669363807e-08,0.00019700981037426248,-0.00023408923954612844,0.9998134174618478,246
bear,ret_close_close,0,1.0322073288130349e-08,8.528357599177176e-08,0.12103236957519502,0.9037773924307821,222
bear,ret_overnight,0,-2.0832182295444615e-08,4.1176709890257616e-08,-0.5059214869513773,0.6134253206201281,222
bear,ret_intraday,0,3.115425558357501e-08,5.594810978210125e-08,0.5568419684759713,0.5782092433152084,222
pre_t1,ret_close_close,0,-3.526859968304392e-08,3.5905330970348095e-08,-0.9822663857957468,0.3287239635969854,91
pre_t1,ret_overnight,0,-2.98727657630591e-08,2.4103839967593466e-08,-1.2393363797312666,0.21859247123234637,91
pre_t1,ret_intraday,0,-5.395833919984949e-09,2.0482513758430448e-08,-0.2634361184190131,0.7928446176360706,91
post_t1,ret_close_close,0,-1.6416948003592939e-06,0.00039225716759383656,-0.004185251248383025,0.9966629058427219,377
post_t1,ret_overnight,0,2.1850225588533375e-06,0.000455807685104301,0.004793737864146248,0.9961777348449417,377
post_t1,ret_intraday,0,-3.826717359212651e-06,0.0008389723177133656,-0.00456119621400911,0.9963631495533749,377
year_2024,ret_close_close,0,5.680441207337783e-09,6.644139328203726e-08,0.08549551607421689,0.9319396404773785,242
year_2024,ret_overnight,0,-4.830498373508305e-09,5.0250700606195905e-08,-0.0961279806099401,0.923500162908907,242
year_2024,ret_intraday,0,1.051093958084591e-08,2.3890893972655604e-08,0.43995589252023126,0.6603699975603017,242
year_2025,ret_close_close,0,1.3054834880367148e-07,3.3819499532401835e-05,0.003860150227196459,0.9969235355355697,226
year_2025,ret_overnight,0,2.679233226193459e-06,0.00034222127205895704,0.007828949995054332,0.9937605279672364,226
year_2025,ret_intraday,0,-2.5486848773897964e-06,0.00033644269417685044,-0.007575390761940829,0.9939626042144862,226
