variant,window,shock,beta,se,t,p,n,r2
base,ret_close_close,FlowShock_frac,0.31364491004403794,0.4072434677695359,0.7701656008428193,0.4412016662656313,196,0.006919610371459495
base,ret_overnight,FlowShock_frac,0.3250209829169497,0.33074250718669357,0.9827009708597442,0.32575463275817806,196,0.017062505831446195
base,ret_intraday,FlowShock_frac,-0.011376072872911536,0.19573865634948412,-0.05811868276340867,0.9536540928527173,196,0.002509622505909914
exclude_macro,ret_close_close,FlowShock_frac,0.3115564152010848,0.41283360751893355,0.7546779368896125,0.4504422477858444,192,0.007085423638696797
exclude_macro,ret_overnight,FlowShock_frac,0.3291771114229055,0.32834448533650856,1.0025358308836636,0.3160848701666985,192,0.011227537610853155
exclude_macro,ret_intraday,FlowShock_frac,-0.01762069622182061,0.19793191408176516,-0.08902402780049681,0.9290628145087063,192,0.0016871400244814483
bull,ret_close_close,FlowShock_frac,-0.4275322609083642,0.4283642970936265,-0.9980576434803099,0.3182514075858002,131,0.02472161019571406
bull,ret_overnight,FlowShock_frac,0.034193751337519965,0.3475525947065888,0.09838439378185926,0.9216270665133863,131,0.01489817254825443
bull,ret_intraday,FlowShock_frac,-0.4617260122458823,0.22428570021113411,-2.058651139199828,0.039527670044859645,131,0.0291294496442015
bear,ret_close_close,FlowShock_frac,0.12155119896125166,1.5868233210020473,0.0766003356217972,0.9389414919519447,64,0.04458187651982515
bear,ret_overnight,FlowShock_frac,0.34045368455458974,1.3260723257042442,0.2567383980159478,0.7973807274775844,64,0.03555687758621273
bear,ret_intraday,FlowShock_frac,-0.2189024855933389,0.6431596656953118,-0.3403548096516379,0.7335893460112193,64,0.07400100582890101
pre_t1,ret_close_close,FlowShock_frac,18.11357892401068,0.7594104905011033,23.852157891653942,9.617531083139484e-126,8,0.9578169133036729
pre_t1,ret_overnight,FlowShock_frac,7.051763000745285,0.2244719003120041,31.414903116798612,1.2664613711416818e-216,8,0.9415421315104753
pre_t1,ret_intraday,FlowShock_frac,11.061815923265346,0.7607271832934568,14.541107727181295,6.650764144343349e-48,8,0.9262315086781683
post_t1,ret_close_close,FlowShock_frac,0.28013091920301825,0.4147770724870673,0.675377058628892,0.4994362371259581,187,0.007032741802270981
post_t1,ret_overnight,FlowShock_frac,0.29106339894051986,0.3406394777265494,0.8544617343917281,0.392849202843634,187,0.01506172744623857
post_t1,ret_intraday,FlowShock_frac,-0.010932479737501402,0.1972372480958319,-0.0554280686992227,0.9557974346162688,187,0.004555876026693162
year_2024,ret_close_close,FlowShock_frac,0.5656899524291502,0.5275335905492494,1.0723297294494056,0.28357195810733815,63,0.03175152810108939
year_2024,ret_overnight,FlowShock_frac,0.5722852793673942,0.47108326447925747,1.2148282958003336,0.2244315863738543,63,0.09996626383967366
year_2024,ret_intraday,FlowShock_frac,-0.006595326938245334,0.3074504863203745,-0.02145167183561637,0.9828853548687766,63,0.021596832479031658
year_2025,ret_close_close,FlowShock_frac,0.020691243124474887,0.46806337320064967,0.044206071889339976,0.9647401421189181,132,0.0037842146524150744
year_2025,ret_overnight,FlowShock_frac,0.08424700730508193,0.3652077459721994,0.23068242181121493,0.817561530608808,132,0.005994916189804411
year_2025,ret_intraday,FlowShock_frac,-0.06355576418060599,0.2915532528270084,-0.21799024214048632,0.8274367142574657,132,0.008332574960300154
winsor_1_99,ret_close_close,FlowShock_w,0.29716060094501373,0.4097335925305101,0.7252532044291344,0.4682967082463352,196,0.006482630197266914
winsor_1_99,ret_overnight,FlowShock_w,0.339263466659548,0.337822965622389,1.0042640707818815,0.3152513468408231,196,0.017667306738742616
winsor_1_99,ret_intraday,FlowShock_w,-0.042102865714534116,0.19504279470439592,-0.21586475818470824,0.8290931683322983,196,0.0026448124503619663
